Title,Rating,Review
Pantera Negra,6,"I am conflicted with this film and with Marvel.Let's review the good first. There is a heartfelt tribute to T'Challa and obviously to the actor who played him. The emotions shown feel real and manage to move. The performances are good in this regard. Angela Bassett stands out above the rest.I'm not one to oppose the replacement of Atlantis by Talokan, as this gives another excellent excuse to show some content that derives from universal culture in gigantic products like the MCU movies. Namor is an excellent addition to the ranks of Marvel superheroes immediately showing how powerful he is and what he is capable of.The action sequences are entertaining, as Marvel has already accustomed us.The wardrobe is also something to value in this film. There is a great effort and meaning behind each of the suits, which successfully try to mix the different cultures with the new times full of technology. This makes an excellent contribution to character design.Now what I didn't like about the movie. The entire story feels too light and if you think about it, pretty ridiculous. Namor's motivations don't match his plans or his actions throughout the film. Marvel Studios again falls flat when writing and developing their villains. It all feels like a mere excuse for the characters to clash. There is nothing really of weight in the story, except for the death of T'Challa, which is also not well used, abusing the drama whenever they can.I liked Riri Williams' introduction, but not Ironheart's introduction. The story devoured her as a secondary character and was relegated to the background when in fact the beginning of the film gives her much more importance.The pacing of the movie is inconsistent. It's pretty monotonous until the action scenes, which are good, but short. Sometimes, there is too much information happening too fast without giving the opportunity to fully appreciate each sequence and each character involved.Finally, the effects are good, as expected, but something is wrong with the composition of the cities. Both Wakanda and Talokan have a contrast and color problem that prevents them from being fully appreciated.The final battle scenario also seems pretty bad to me.Overall, the movie is entertaining if you just want to have fun with fights and visuals, but I think it's about time Marvel got serious about their movies and realized that adults are also consuming superhero movies."
Pantera Negra,6,"I never thought the original Black Panther was anywhere near being the best solo Marvel movie, but I did enjoy it and T'Challa's character throughout his appearances. With that being said, when Chadwick Boseman sadly passed, I accepted that this franchise was doomed. I always believed that recasting T'Challa was the only way to go. It would've been incredibly hard to find a good replacement, but the character is very important to the Marvel universe. It is also simply too soon to pass the mantle of Black Panther on. When they confirmed he wouldn't be recast, I felt like it was a big mistake narratively.Now does Wakanda Forever handle the death of T'Challa/Boseman well? Absolutely! Being able to respect the legacy of the actor while also metatextually connecting the event to an in-universe tragedy is definitely one of the movie's standout features. Regardless, I feel like the movie is a little too reliant on the audience being impacted by Boseman's passing.Don't get me wrong, the fully silent opening gave me chills. They incorporated the death beautifully and honorably, but the result is what feels like two movies in one. You can clearly tell the original script was written before Chadwick's death. I really respect Coogler's decision to not recast, but I still wish T'Challa and Namor got to cross paths.My issues spring not from the T'Challa-related parts of the film, but from how the rest feels lacking without his presence. I don't think Shuri works as the protagonist. She was a fun (yet underdeveloped) carefree tech nerd in the original movie and here she takes a 180 to being reserved and bitter. The changes to her character were perhaps necessary for this story, but it doesn't make them good changes for her. Some don't match her at all and her vengeful arc is just T'Challa's from Civil War with a less fitting character. She never struck me as someone who would willingly become the Black Panther and there isn't much impact when she does anyway.Ramonda is a pleasant surprise in this movie. Her monologues are insane. Angela Bassett deserves all the credit she's been receiving. However, Okoye is the only character I felt really connected to and she is stupidly sidelined a third into the movie. She would've enhanced the film a lot if given more screen time. So would've M'Baku, who is completely wasted. Between them and W'Kabi, who is fully absent, we have three characters connected to T'Challa and it isn't explored how his death affected any of them personally. This is one of many missed opportunities that came with trying to focus the movie on both Talokan and T'Challa's death.Some of the action scenes are awesome and some drag. As to be expected from Danai Gurira, Okoye's fight scenes are the tensest we've gotten from Marvel all year.Namor himself is a pretty good villain. In a similar fashion to Killmonger, his actor sells the character for me despite his viewpoints being completely ridiculous. They somehow managed to adapt his crazy mutant powers to live-action in a cool way. Changing his kingdom from Atlantis to Talokan ended up being a really cool idea, even though the place and its people needed more elaboration. There are many more cool concepts they could've explored with the Aztec roots. Hopefully they are saving more about the civilization, the people's powers, and their technology for a Namor project.Ironheart is an even more underdeveloped part of the movie, undoubtedly to save content for her upcoming show. Her character is just as dumb and not relatable as I expected her to be and her suit looks awful. A Black Panther movie didn't feel like the right place to introduce an Iron Man ripoff.Also, Ross's entire storyline felt weird and unneeded. It's only included to add awkward colonizer jokes and set up future MCU films. If he and Ironheart were removed, there would definitely be enough room to have included more from the aforementioned underutilized characters.By the latter half of this movie, the pacing really starts to drag. I've complained recently about Marvel movies like Multiverse of Madness and Love and Thunder being way too short, but this film had no reason to be 2 hours and 40 minutes and feel like it's over 3 hours. There's so much downtime between the action that when the final battle starts, the movie has already overstayed its welcome.The things I'm disappointed they didn't include or flesh out have no excuse to not be here or be better implemented considering how aggressively long and slow the film is.So this definitely isn't a bad movie per se, but it's not fantastic either. It's very bold but very flawed with iffy decisions on what to prioritize and how to structure this challenging project. I was pretty disappointed when I first saw it, but there's some great stuff sprinkled throughout. The lack of T'Challa, awkward pacing, and wasted opportunities easily made it worse than the first movie to me."
Pantera Negra,6,"Let's start with the good points - this film doesn't try to be all comedy and spectacle, like the recent Dr Strange 2 and Thor 4. In fact, there is almost zero comedy at all.It does try to bring some drama, and to make some points about the responsibility of nations to use their wealth, resources and technology for global benefit, rather than national advancement.Namor is different to the comics, but once I got past the initial differences, I think the portrayal was a good one. He isn't a one-dimensional villain, his people are descended from the Mayans, and he has proper motivation.But the film has a lot of problems. Firstly, the pacing is all over the place - it should be at least half an hour shorter. The comic-book science is paper thin (Shuri extracts DNA from plant fibres on a bracelet that has been underwater for 400 years, but cannot do the same from the recently dead plant in her lab). Shuri takes a spear right through her stomach and out of her back, but gets over it after a short breather. The Wakandan ship is breached from undersea, tilts over by 45 degrees and then the next scene it is upright and apparently seaworthy again. The fact that Namor's people take mortal wounds but get up again is never explained.And then there is still my biggest problem with Wakanda. Both Black Panther films promote the idea that Wakanda is a Utopian society, both technology and socially. Yet they still choose their leader by who is best at beating up other challengers.I think there was a missed opportunity here. Namor would be more likely to say ""join us, or if not, don't get in our way"", as he plans to attack the rest of the surface world. This would present Wakanda with a far more interesting moral dilemma - standby by and watch untold millions die, or utilise their resources and technology to aid the nations who have been trying to rob them."
Pantera Negra,,"Sorry, but this was boring. Mind-numbing boring. Sleep-inducing boring. ""Are we there,yet?""-boring.Dang, I liked Mr. Bozeman and they pay some propper respect to his character in the first couple of minutes and it really hits you in the feels but after that we are let known that Wakanda have mastered the technology of exposition dialogue. If that is their main achievement then I say we forget vibranium and let them slink back behind their stealth shield and call it a day.They could have done so much with this movie and show Africa as a vibrant place full of ideas and hope in the face of many problems. Maybe explore Ubuntu philosophy, or visual art. Unfortunately, Wakandan culture is reduced to a song&dance number for the day-trip tourists in cinema seats.This was a missed opportunity and almost a missed movie if not for a good double espresso I had before it."
Pantera Negra,6,"As the last film in the fourth phase of the Marvel Cinematic Universe (MCU), Black Panther: Wakanda Forever (2022) proves that there was no plan for this phase other than to clean up the remains of the Infinity War saga. To its credit, though, Wakanda Forever was burdened with finding an in-universe replacement for the titular Black Panther after the untimely passing of Chadwick Boseman. However, considering how most of Phase 4 was passing the mantle from one hero to the next generation, it fits well within this theming.There's a line in Avengers: Endgame (2019) where Naka (Lupita Nyong'o) states that Wakanda is aware of an anomaly on the ocean floor near their country and that they were handling it. This throwaway line was likely played for laughs, but it's peculiar how Wakanda was woefully unprepared for the invasion of their land by underwater enemies, even though they clearly knew about it three years ago. Phase 4 of the MCU has highlighted how difficult it is to maintain continuity in a franchise as huge as it has become.Even though Marvel has introduced new characters in movies outside their own standalone works since the early Phases, I would have liked something more dedicated to introducing Ironheart (Dominique Thorne) considering how influential Iron Man was to the MCU. I also would have appreciated action sequences that weren't so dark or hard to follow, because I can't honestly recall any of them that happened in this movie. Overall, I felt the end of the MCU Phase 4 was average-which aligns with the MCU Phase 4 as a whole. Here's to hoping the next Phase actually goes somewhere.Phase 4 MCU's average movie to end an average phase, I give Black Panther: Wakanda Forever 3.0 stars out of 5."
Pantera Negra,6,"The only reason this is scoring a five from me is because of the good CGI, magnificent costumes and wonderful scene shots. Sadly none of that could save this terrible story which the director made it look like he was clueless as what to do with it. Not his fault really as it was woefully lacking in worth, tension, excitement, interest or quality in any way. My personal thoughts as I sat watching it (fighting hard with myself not to just switch it off) was that if they had no creative outstanding story for a sequel then Hollywood should have stopped just trying to cash in on what they thought would be a successful film franchise; whereas instead they made one of the most disappointing rubbish sequels of a film.They spoilt the memory of a great Black Panther and this will most likely do so bad at the box office that there may not be a third film being made in the future. Its the typical cash in if you can, from people involved in the putting together of the fans heroes, from directors and studios who don't give a toss about the Marvel/DC heroes and heroines; they are there too see if they can amass better wages and high end film contracts.In straight forward simplistic words, ""This was a bloody disgrace and only did damage to a superhero that has never had enough exposure!"
Pantera Negra,8,"Phase 4's MCU comes to a close with Black Panther: Wakanda Forever. It's been a truly inconsistent run of films. There was the good (Shang-Chi, Spider-Man, some of Dr. Strange 2), the eh (other parts of Dr. Strange 2, Black Widow and Eternals), and the ugly (Thor 4, which is easily the worst MCU movie so far). If this movie had been bad, it might have been enough to make me bail on keeping up with the MCU's movies, and truth be told, I've already bailed on the Disney+ series', because WandaVision, Falcon & Winter Soldier, and Loki really didn't do it for me.If you're expecting Black Panther 2 to wrap up Phase 4, you might be disappointed. But then again, there hasn't been a consistent narrative to the last two years of Marvel releases, so there's really nothing to conclude, overall. Importantly, it's just a very good movie, and that's enough to ensure it ends Phase 4 on a high. It's not a total slam-dunk, but there's a great deal about Black Panther 2 that's extremely effective, and enough great stuff that I feel the overall movie is a strong one.I think the pacing is its greatest strength. I really didn't feel the 2 hour 40 minute runtime. The opening half-hour doesn't flow the best, but there was a need to adjust after Chadwick Boseman's passing meant T'Challa died, too. Once the movie establishes this and sets up its main plot, it's pretty smooth-sailing, and unlike many Marvel movies, it saves its most emotional moments and best action scenes for its excellent final hour.It's a very emotional movie, and the way it pays respect to Boseman and T'Challa is essentially perfect. With good action, a solid story, a very good new antagonist (Namor and the whole underworld were great), and fantastic music (maybe the best Marvel score so far?), this was a very good MCU movie, and gives me a little more hope for the franchise going forward."
Pantera Negra,6,"I just got out of Black PantherI found it pretty underwhelming. It's a better put together movie than both Thor: Love & Thunder and Doctor Strange & The Multiverse of Madness, and there is no sense it was butchered in the editing room, like both of those movies. That said I probably had more fun with those two.The Chadwick Bosman stuff was touching, but I expected more. Disappointed not to see at least, Bucky there. When I heard there was a cameo, I expected it to be someone at the funeral. I DID NOT see that cameo coming. I thought the Marvel logo was a nice touch.Letitia Wright and Angela Bassett are both good, but I'm not sure where this Oscar nomination talk is coming from. Then again, I didn't think Black Panther should have got a nomination for Best Picture, so she could get one. Winston Duke was a bit wasted as Umkaku, disappointed by what he did at the endThere is no reason for it to be as long as it is. I was bored a few times. I was especially bored during the story between Martin Freeman and Julia Drefuss, it was really weak and unnecessary. Was it just there to put some white people in it? I didn't like the scientist girl, she irritated me and had awful dialogue. Some of the CGI/Green screen work was not the best, too.I can safely say, with the exception of Spider-Man: No Way Home, nothing from Phase 4 will be rewatched, never mind find its way into my collection.Overall I found it OK."
Pantera Negra,9,"Black Panther was a very welcome addition to the Marvel Cinematic Universe back in 2018 and I was really looking forward to seeing the progression of that character. Obviously, with the tragic passing of Chadwick Boseman, that just wasn't possible anymore. I figured they would recast the character and continue forward, but they made the tough decision to write the death of the character into the film as well. For that reason, I was worried and relieved all at the same time. It seemed like an impossible task to make a sequel to such a beloved film, but not have the core character there the entire time. Well, after seeing Black Panther: Wakanda Forever, I can confidently say that they handled it as well as they possibly could have. I thought this film was emotional and fantastic, and here's why.Picking up six years after the events of Black Panther (in accordance to the events of Avengers: Infinity War and Avengers: Endgame), this film focuses heavily on the loss of T'Challa and how the country can move forward without their leader. With the emergence of Namor and the underwater city of Talokan threatening all of Wakanda, the remaining characters must band together and protect their country. Shuri (Letitia Wright) is easily the one with the most screentime here and the burden of carrying this franchise is on her shoulders the whole time. This must have been a daunting task, but she pulled it off. Her character, along with her mother, portrayed incredibly well once again by Angela Basset, are the beating hearts of this film. The emotional aspect of this film got me on a few occasions.Some people may complain about the fact that the death of Chadwick Boseman is basically the jumping-off point for this story to even happen, but I found that it was very tastefully done. With the addition of other characters that will have a future in the Marvel Cinematic Universe, this film was filled to the brim with story. Where I might have my only complaint though, is the fact that this feels like a big budget prelude to what will come next. It's a fantastically made film by director Ryan Coogler and I loved watching every minute of this one, but I have to admit that it did feel like more of a long eulogy for the passing of Boseman.With all of that said though, I'm only complaining about that because I'm reviewing it and criticizing it. That complaint isn't something I will regularly say about this film. They take the time to make a great film on top of that, so it really worked for me overall. I can't wait to see where certain storylines continue later and the fact that I'm excited about that, all while this film is satisfying on its own, is nothing short of great. I wept, I was entertained, and I was engaged in the story at hand, so what else could I really have asked for from this film? Also, the final scene that takes place during the credits is easily one of my favourite post-credit scenes in the Marvel Cinematic Universe. It was very well handled. Now playing in theatres, I absolutely recommend checking out Black Panther: Wakanda Forever."
Pantera Negra,6,"This film had some great stuff in it, there's no doubt of that, but I felt it was overall weak. I can't imagine how hard it was for everyone in the film to come back without a lead, and most importantly, their friend. Chadwick's passing is unbelievably sad but it did leave a gap for Marcel to fill, and they could have done it so well. But they didn't.Firstly, the good. All the emotional scenes were well-scripted and well-acted, and I have to commend Angela Bassett and Letita Wright for their fantastic acting. I never cry in the cinema but this film really had me going because it felt from the heart in some scenes, and I am sure it was.I also enjoyed the costumes - wow were they beautiful. The only one I didn't like was the Midnight Angels (or whatever they were called). They didn't feel like they fit. Some of the fighting was great as per.The rest of the film felt slow, boring almost. I've just come from the cinema and I am struggling to remember much of it.The story was gaping with holes and so much was skipped over with little explanation. The beginning when T'Challa dies felt cold and rushed. That should have been the pivotal moment for the story, but it was brushed over. However, maybe it was too hard for the cast and crew to linger on.The Talokan/Atlantis story was odd to me and felt so disconnected from Wakanda. I didn't enjoy that storyline. They could have made it so much better.Anyway, it was enjoyable and I'll maybe watch it again. But I won't rush to do that."
Toy Story,,"Andy's toys live a reasonable life of fun and peace, their only worries are birthdays and Christmases, when new toys could easily replace those already there.  One such birthday Andy's top toy, Woody the cowboy, finds himself in direct competition with Andy's new Buzz Lightyear doll.  When rivalries boil over Woody tries to hide Buzz down the side of the bed but accidentally pushes him out the window, the other tops expel Woody, and he leaves with no choice but to find Buzz and return him to the house.  But with only two days before Andy moves house, time is of the essence.Given how often the same mix of animation, wit, jokes and kids humour has been used since Toy Story (Ice Age, Monsters Inc, Bugs Life) it is easy to forget how refreshing it was when it first came out.  I have just watched it again and it is dating a little in comparison to more recent twists on the formula.  It seems each one has to be sharper and have more references etc in the background.  However it is still very funny and deserves praise for being the first of a successful formula.The plot is simple but effective and actually has genuine drama and excitement to it.  The main story is fun but the degree of character development is what really shores it up.  The conflict between Buzz and Woody is taken deeper than this and, when confronted by the truth of his status as a toy, Buzz's turmoil is very real as opposed to him being a cartoon character and nothing more.  Despite the two strong leads there is a real depth in the support cast.  They may not actually have that many lines, but they have all the funniest lines.  Most of the `adult' wit comes from the Potato Head, dinosaur, the pig and slinky dog.  They are funny and are very well used.  In fact the majority of this humour and plot will go right over kids heads.Looking back on it, I do feel a cynical edge on it in so much as this film must really have helped sales of the toy companies in the film.  It's hard not to see the marketing department standing behind this film rubbing their hands.  However the actual product is so wonderfully fun that I forgot this quickly.  The voice work is excellent and the characters match the actors. Hanks is good as Woody and Allen has a good B-movie type voice for Buzz. Varney, Ratzenberger, Ermey (doing his usual), Rickles and others are all really good in the support roles and, probably, come out as the favourite characters for adults.Overall this is a classic film that will appeal to adults as much as to kids (if not more).  A good plot and a really sharp script make the already short running time fly by.  The only downside is that your kids will want you to go out and buy the damn things!"
Toy Story,10,"This is a very clever animated story that was a big hit, and justifiably so. It had a terrific sequel and if a third film came out, that would probably be a hit, too.When this came out, computer technology just was beginning to strut its stuff. Man, this looked awesome. Now, it's routine because animation, which took a giant leap with this movie, has made a lot more giant strides.The humor in here, however, is what made this so popular. There are tons of funny lines, issued by characters voiced by Tom Hanks, Tim Allen, Jim Varney, Don Rickles, Wallace Shawn and John Ratzenberger, among others. As good as Hanks is as ""Woody"" and Allen as ""Buzz Armstrong,"" I think the supporting characters just about stole the show: Mr. Potato Head, Slinky, Rex the dinosaur, etc.Multiple viewings don't diminish the entertainment, either. There are so many things to catch, audibly and visually, that you always seem to discover something new. The colors in here are beautiful, too. This is a guaranteed ""winner"" as is the sequel."
Toy Story,9,"I am a big fan of the animated movies coming from the Pixar Studios. They are always looking for the newest technological possibilities to use in their movies, creating movies that are more than just worth a watch, even when they were made a decade ago.The movie is about toys that come to life when their owner is asleep or not in the same room. When the young boy's birthday is coming up, all the toys are nervous. They don't want to be ignored when the new one arrives. Woody the cowboy is their ""leader"" because he's the most popular one of them all. He's the only one that hasn't got to be afraid, but than a new favorite arrives ... Buzz Lightyear. He hates him and tries everything possible to get rid of him, but as the time passes by they learn to appreciate each other...When you see Toy Story, you may think that the different human like characters (Woody the cowboy for instance) aren't always as perfect as we are used to see in todays animated movies. Perhaps that's true, but if you keep in mind that all this was done in 1995, when computers weren't yet as strong and the technology for creating such movies was almost unknown, than you can only have a lot of respect for what the creators did. I loved the story and liked the animations a lot. I give it an 8.5/10."
Toy Story,10,"Toy Story – 5/5 starsChildren play with toys. It is a known fact. At one time or another, we all played with toys, whether they were action figures, dolls, little green soldiers, etc But what if toys were real? What if they could talk?Pixar and Disney serve us this theory in what was the first full-length computer-animated film ever, 'Toy Story,' chronicling the events in the life of a cowboy doll, Woody (voiced by Tom Hanks).Woody is the favorite toy of his owner, a small child named Andy. Andy brings Woody everywhere, and cherishes him, as we see in the beginning of the film. However, this all changes on Andy's birthday when Andy gets a new toy: a Buzz Lightyear doll (voiced by Tim Allen). Woody is suddenly forgotten, left with the rest of his friends: Mr. Potato Head (Don Rickles), Rex (Wallace Shawn), Slinky Dog (Jim Varney, better known as Ernest) and Ham (see if you can guess the voice of this one? I'll give you a hint: 'Cheers'). But after Buzz accidentally gets knocked out an upstairs window, Woody is the prime suspect. Now, after Woody and Buzz end up next door, in toy killer Sid's house, Woody must prove his innocence by getting both Buzz and him back to Andy's house safely.'Toy Story' builds on an element we all shrug off carelessly and thoughtlessly. Much like they did last year with monsters under the bed, Pixar took the theory of live toys to a new level in 'Toy Story,' filling our minds with endless possibilities.What Pixar does is a strange thing. It doesn't just try to expand our mind, but also out world. I respect and enjoy that. In 'Monsters, Inc.,' Pixar managed to preach to us 'What if monsters under the bed are real, and what if they have a world much like ours, and have feelings like humans,' while never forgetting the equally important formula of humor. Much is the same with their earlier film 'Toy Story.' What if those wooden and plastic toys we all played with as kids are real? What if they have feelings, emotions, voices, and human qualities? An interesting idea by itself, but when mixed with a wicked sense of humor and reality, you've got yourself one of the best films ever.Tom Hanks is perfect as Woody. Pixar must have modeled the doll's expressions and movements after Hanks, because after a while, I feel like I AM watching Hanks on screen, and NOT a computer-generated image. When you get to the point of not being able to tell animation from reality, you know that the voices are good.The same goes for Tim Allen, though the body gestures were most likely not modeled after Allen's physical expressions (Buzz is a short, pot-bellied toy).The rest of the cast is excellent, all very believable and entertaining. You begin to love each character for their distinguishing traits, and that is always refreshing.I can safely say that I have not enjoyed animated films quite so much over the years as I have enjoyed Pixar films. The only film they made that I named forgettable was 'A Bug's Life,' which was in and of it not horrible, but lacking the sense of humor the other Pixar films have and had.Pixar makes very refreshing films. In an era of cheap, made-for-video Disney sequels, rip-off cartoons and television babysitters (i.e. 'The Jungle Book 2), Pixar holds true to the values that made Disney films so entertaining back in the 30's-60's: Respect for the audience's intelligence, humor, provocative ideas to base the film upon, and respect for the audience (not the exact same thing as the first element), all of which are forgotten in this day and age of money-makers. I respect Pixar very much, and after hearing how little Disney does in helping with their films, I feel that Disney is just trying to cash in on their ideas by having their name branded on the posters for Pixar films. Shame on you, Disney. Proof that Disney has no respect for audiences is the fact that they will not let another sequel be made – something that fans like me would rather have than something like 'Finding Nemo.''Toy Story' 1 & 2 are both on my 'favorite films' list. It may sound stupid, but if I made up a top 250 list like IMDb.com, both of those films would be on there; so would 'Monsters Inc.' After an unpromising trailer for Pixar's upcoming film 'Finding Nemo,' I think that after their licensing deal with Disney is disputed (they have to cough up five more ORIGINAL films – not sequels – by 2005), they should definitely try to make a 'Toy Story 3.' I'll be first in line for it, anyway."
Toy Story,10,"Toy Story is a sheer delight to view on the screen.  The characters are well done, the plot is exceptional, and the best thing of all, the film is entirely produced on the computer.  The animation is extraordinary in it's ability to bring such great entertainment to the screen.  The film also teaches some good lessons for the kids like friendship (mainly between Woody and Buzz Light-year).  Spectacular entertainment all around and one of the best films Disney has come with."
Toy Story,,"""I believe that a filmmaker's entire work is contained within his first film; not that it can all be foreseen, but that it can afterwards be verified."" – Francois Truffaut (The Films In My Life) Buzz Lightyear, a glossy action figure with a sexy sheen, is not a mere toy. He's a Space Ranger, tasked with protecting the universe from the evil Emperor Zurg! His life has meaning, he is unique, his existence has grand purpose! Woody, a dated cowboy doll, thinks otherwise. He was once a youthful and exuberant toy, the favourite plaything of his owner Andy, but years of existence have shown him the truth: everyone is just a toy, soon to be forgotten and discarded. No one is unique. There is no grand purpose. No universe to save. Better to be a realist, seeing the world without its fake plastic facade and tacky ipod veneer.Of course Buzz thinks Woody is just a crazy old timer. Doesn't Woody realise that Buzz is a genuine Space Ranger?! That he's a member of the Elite Universe Protection Unit! That he alone has information that reveals Emperor Zurg's weakness! That stupid fool! Naturally, we the audience identify with Woody. Buzz seems like an idiot, brainwashed and in desperate need of identity and purpose. The Elite Universe Protection Unit merely elevates believers into a position of exaggerated importance. This is an idle fantasy, an other-worldly hope adopted by those who can't face the dour reality that is the ""real world of toys"".Midway in the film, our heroes stumble across a horde of green alien toys. These aliens worship a giant claw, a mechanical God which they believe will descend and pluck the ""chosen ones"", taking them to some kind of toy heaven. In reality, the claw chooses only deluded souls, and offers them to the devilish Cid Phillips, a sadistic child who mutilates toys. ""Nirvana is coming!"" the aliens whisper, watching as the ""chosen ones"" are airlifted to their deaths.Buzz Lightyear faces a similar scenario later in the film. Having witnessed a television commercial which advertises a vast range of Buzz Lightyear action figures, Buzz must confront the fact that he really is ""just an ordinary toy"" who ""can not fly"". ""Flying"" thus becomes a sort of Nietzschean metaphor, the ability to transcend the ""flesh"" (in this case, injection moulded plastic) and become ""something more"".Buzz's first reaction upon seeing the commercial is to seek refuge in denial. ""I am not a toy!"" he says to himself, before climbing to the top of a staircase. Seeking to validate himself by flying, by defying the laws of toy-dom, he takes a giant jump – a literal leap of faith – and of course falls promptly to the ground. He can't fly.Cue the fastest existential crisis ever seen in a children's film, Buzz Lightyear promptly falling into a deep depression, his faith completely destroyed. His entire existence was based on a lie, a social framework which indoctrinated him into believing that the fate of the whole universe depended on his actions. How can he continue living? Why do anything? What's the point? And more importantly, how the hell did this become a kid's franchise? It's like a demented cartoon by Philip K. Dick (""Do Plastic Toys Dream of Suicide Switches?"").Then comes the message of the film. Woody tells Buzz that being a Space Ranger doesn't define who he is. His value, status and worth can only be found within the community of toys, on ground level, and not ""up in the skies"". There is no purpose beyond ground zero and our importance lies solely in our ability to bring good to those immediately around us.Buzz heeds Woody's words and quickly gets over his loss of faith. He stages a daring rescue mission, straps a rocket to his back and flies spectacularly in the air, his newfound love for the ""greater good of his family"" quite literally giving him wings.In true Zarathustran fashion, Buzz becomes a pint sized Ubermensch figure, a superman who reaches for the sky but is then brought depressingly back down to Earth. If he would just lower his sights, Woody then says, Buzz would find enough reasons to live. Set free of the ""moral code"" imprinted on him by his makers, Buzz thus adopts a new code which, though it puts limits upon him, negating some of his wild ambitions and reducing him, in an existential sense, to a chunk of plastic, still allows for a Nietzschean war cry. This cry, which Buzz yells every time he jumps across that dark abyss, sums up humanity best: ""To Infinity and Beyond!"" 8.9/10 – With its revolutionary visuals, consistent humour, genuine sense of adventure, memorable characters, slick camera work and a couple action/adventure scenes worthy of George Lucas, ""Toy Story"" is a milestone in cinema, and one of the most influential animated films since ""Snow White"".Most interesting, though, is in observing how Brad Bird reverses Lasseter's themes here with his first Pixar feature, ""The Incredibles"". Brad Bird seems to be the bad boy of Pixar, subverting them from within. Viva la Resistance. Worth multiple viewings."
Toy Story,9,"Y'know, I always suspected that my toys were coming to life when I wasn't looking! In Andy's Room, his toys lead lives of noisy desperation come every birthday and Christmas - no one wants to be one-upped by a new addition to the toy box. Nominally led by Cowboy Woody (there's a Brokeback joke in there just waiting to happen), Mr. Potato Head, Rex the Dinosaur, Ham the piggybank, Bo Peep, Slinky the dog and a smattering of other playthings go about their toy business of playing checkers, hanging with the hometoys and ""plastic corrosion awareness meetings,"" until Andy's birthday party, when they gather expectantly around a transistor radio, listening to the reports of their toy soldier troops ""in the field"" (downstairs watching Andy's gift-opening), hoping that no gift will be exciting enough to cause Andy to neglect *them.* There is. His name is Buzz Lightyear, Space Ranger.Directed by Pixar mainstay John Lasseter, with the voice talents of Tom Hanks (as Woody), Don Rickles, John Ratzenberger (forever Cliff from *Cheers*), R. Lee Ermey, Annie Potts, Jim Varney and Tim Allen (as Buzz), *Toy Story* is that *rara avis* that succeeds on all levels  in its animation, storyline, character development, its messages of friendship and self-realization and, most importantly, its entertainment value. The fact that this is a cartoon (or animated feature  just what DO we call this new wave of computer-generated movies?) is incidental. Which makes the slightly dodgy animation (of the ""real people"") irrelevant - it gets the point across with or without the technological finesse.The ""Disney Movie"" has become synonymous with maudlin messages, redneck fundamentalism, anachronistic family values, boneheaded parents, smart-mouthing youngsters, too-hip-to-be-smart teens and insufferable pets. Though Disney's tyrannical umbrella overarches this film's production studio, Pixar Animation, *Toy Story* somehow avoided all trace of Disney's craven hand, which is doubly surprising, considering this is Pixar's first feature length film, after years of experimentation. Right outa the gate and right outa the field.Sure, there are ""messages,"" but they are heartfelt, rather than maudlin (Woody tells Buzz during Buzz's greatest depression that it matters not what Buzz thinks of himself, what makes him important is what his owner, Andy, thinks of him); there are emotional segments, which are truly heartbreaking, rather than cheesy (when Buzz's escape attempt lands him with a broken arm, proving he is Not A Flying Toy, the lyric, ""Clearly I will go sailing no more,"" launches a thousand hankies); and the portrayal of Andy's family was Pixar's triumphal achievement. Boldly contravening Disney's *idée fixe* of the 1950's nuclear family and Norman Rockwell fantasies, one of the many incarnations of a modern-day family is presented: a single mother with two kids, who are neither geniuses nor monsters, just normal children; happy to visit Pizza Planet and disappointed when favorite toys are lost.Buzz  who believes he is a real life space ranger on a mission to save the universe - become Andy's favorite toy over Woody. The funny thing is: though Buzz believes he is real, he still adheres to toy protocol of ""playing inert"" when humans are in the area. (Maybe it's instinct?) When he mentions saving a toy from Sid, the vicious boy next door, how does he propose to do it if he is to adhere to the inert protocol? Buzz's ingenuousness regarding his role as a toy infuriates Woody to the point of attempted toy-assassination. Through a concatenation of accidents, both he and Buzz become lost and must use teamwork, trust and ingenuity to beat their path back to Andy, which finds them ensconced in scorchingly funny vignettes (Buzz fastening himself in an over-sized seatbelt; both falling in with green, three-eyed aliens; Buzz hyperventilating as ""Mrs. Nesbitt""). During a climactic rocket ride, the callback line, ""This is not flying - this is falling with style,"" simply seals this movie's greatness.At least I now have a plausible explanation as to why my toys always got lost: after going about their toy business, they would just go inert anywhere they happened to be, instead of paying attention to their master's infallible toy filing system."
